Activity Type,Date,Title,Distance,Calories,Time,Avg HR,Max HR,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Best Lap Time,Number of Laps,Remaining_Days,Goal_Distance,Goal_Time,Fatigue
Running,10/3/19 17:04,Chicago Running,2.52,220,0:17:04,146,179,172,182,6:47,5:13,17,20,1.38,03:53.4,3,558,42195,12632,4.185932286991179
Running,10/1/19 16:46,Chicago Running,4.0,400,0:28:50,152,166,172,180,7:13,4:57,45,45,1.29,07:05.1,4,189,42195,12632,45.69337966787042
Running,9/30/19 12:26,Chicago Running,2.5,227,0:17:34,143,150,176,182,7:02,5:56,21,28,1.3,03:31.9,3,139,42195,12632,28.79363317006527
Running,9/28/19 17:31,Chicago Running,4.01,371,0:27:07,153,166,174,182,6:46,2:52,40,40,1.36,00:03.1,5,453,42195,12632,18.799709100314455
Running,9/26/19 9:12,Chicago Running,4.01,379,0:28:33,149,163,176,184,7:08,6:28,49,53,1.29,00:02.1,5,208,42195,12632,49.30398621088895
Running,9/24/19 18:16,Chicago Running,5.01,479,0:35:14,152,163,174,184,7:02,5:24,64,66,1.31,00:02.1,6,139,42195,12632,12.023408852009664
Running,9/23/19 8:39,Chicago Running,3.02,284,0:21:06,151,163,178,184,6:59,4:20,45,48,1.3,00:08.1,4,624,42195,12632,53.635750312114574
Running,9/20/19 17:08,Cherry Hill Running,3.0,293,0:22:54,142,156,176,184,7:38,6:57,101,106,1.2,00:02.1,4,414,42195,12632,61.71123524675479
Running,9/19/19 18:13,Cherry Hill Running,3.22,279,0:22:05,142,156,174,180,6:52,3:19,43,47,1.34,01:30.7,4,486,42195,12632,55.3264067394115
Running,9/18/19 17:05,Cherry Hill Running,5.01,456,0:35:33,147,161,174,182,7:06,6:28,192,182,1.31,00:04.2,6,236,42195,12632,14.531033127259075
Running,9/17/19 17:47,Cherry Hill Running,5.0,475,0:36:00,152,168,174,182,7:12,6:20,138,142,1.28,00:00.6,6,645,42195,12632,38.59280611125124
Running,9/16/19 17:57,Cherry Hill Running,5.01,479,0:37:20,149,163,174,180,7:28,6:08,163,156,1.25,00:02.1,6,413,42195,12632,59.81899553362102
Running,9/15/19 17:08,Cherry Hill Running,4.0,388,0:29:32,152,176,172,198,7:23,4:32,124,127,1.27,00:02.1,5,633,42195,12632,24.20400492178073
Running,9/14/19 17:10,Cherry Hill Running,3.5,345,0:25:47,152,173,174,180,7:22,6:31,117,109,1.26,03:40.1,4,592,42195,12632,85.57212744790988
Running,9/13/19 15:59,Cherry Hill Running,4.0,386,0:28:56,153,168,172,180,7:14,6:30,100,104,1.3,00:01.6,5,462,42195,12632,69.1142551672111
Running,9/11/19 17:49,Cherry Hill Running,3.49,334,0:26:20,152,171,172,178,7:32,6:29,107,108,1.25,03:41.5,4,16,42195,12632,15.122463359424998
Running,9/10/19 18:26,Cherry Hill Running,4.0,376,0:28:31,156,175,170,178,7:07,6:07,123,119,1.33,00:01.8,5,360,42195,12632,68.66248207004426
Running,9/9/19 17:24,Cherry Hill Running,5.0,452,0:36:25,149,173,170,180,7:17,4:07,179,187,1.31,00:01.3,6,105,42195,12632,55.24252784291255
Running,9/8/19 19:16,Cherry Hill Running,4.0,356,0:29:10,145,156,170,178,7:17,5:57,136,129,1.29,00:01.8,5,333,42195,12632,67.68602582131612
Running,9/5/19 17:55,Cherry Hill Running,4.0,371,0:29:53,148,165,172,180,7:28,5:47,152,143,1.26,00:01.4,5,551,42195,12632,64.30462308512118
Running,8/30/19 11:05,Cherry Hill Running,2.04,190,0:15:09,149,162,174,180,7:26,6:41,63,68,1.25,00:18.7,3,236,42195,12632,26.660326789225874
Running,8/28/19 17:49,Ocean City Running,4.5,455,0:35:56,148,166,168,174,7:59,6:23,13,13,1.2,03:58.5,5,138,42195,12632,46.535931046461556
Running,8/24/19 19:48,Cherry Hill Running,0.78,63,05:57.7,129,150,170,212,7:41,3:59,7,7,1.23,00:00.0,1,464,42195,12632,4.026829894172524
Running,8/24/19 19:27,Cherry Hill Running,0.74,74,07:51.0,121,128,162,168,10:35,8:37,12,12,0.94,00:00.0,1,355,42195,12632,97.73394425546923
Running,8/19/19 8:36,Cherry Hill Running,2.45,226,0:19:55,136,165,170,176,8:07,1:44,29,59,1.17,03:29.1,3,93,42195,12632,51.218174285265384
Running,8/16/19 17:24,Cherry Hill Running,4.01,355,0:27:12,154,174,174,180,6:47,5:21,128,133,1.37,00:01.8,5,232,42195,12632,96.62806418810244
Running,8/14/19 19:23,Voorhees Running,4.0,371,0:28:46,151,173,172,180,7:11,6:17,110,109,1.3,00:01.3,5,415,42195,12632,87.02787951572996
